	position	artist	title	year
36	36	GENESIS	Hold on my heart	1992
37	37	GENESIS	I can't dance	1992
38	38	GENESIS	Jesus he knows me	1992
39	39	EN VOGUE	My lovin'	1992
40	40	STEPHAN EICHER	Pas d'ami (comme toi)	1992
41	41	ELTON JOHN & ERIC CLAPTON	Runaway train	1992
42	42	MR. BIG	To be with you	1992
43	43	GEORGE MICHAEL	Too funky	1992
44	44	GARLAND JEFFREYS	Hail hail rock'n'roll	1992
45	45	MICHAEL JACKSON	Jam	1992
46	46	KRIS KROSS	Jump	1992
47	47	METALLICA	Nothing else matters	1992
48	48	SIMPLY RED	Stars	1992
49	49	MADONNA	This used to be my playground	1992
50	50	JEAN LELOUP	1990	1992
1	1	WHITNEY HOUSTON	I will always love you	1993
2	2	ACE OF BASE	All that she wants	1993
3	3	CHARLES & EDDIE	Would I lie to you?	1993
4	4	HADDAWAY	What is love	1993
5	5	PETER KINGSBERY	Only the very best	1993
6	6	IGGY POP	In the deathcar	1993
7	7	MICHAEL JACKSON	Give in to me	1993
8	8	CULTURE BEAT	Mr. vain	1993
9	9	DURAN DURAN	Ordinary world	1993
10	10	FREDDIE MERCURY	Living on my own [no more brothers radio mix]	1993
11	11	R.E.M.	Everybody hurts	1993
12	12	UB40	(I can't help) falling in love with you	1993
13	13	2 UNLIMITED	No limit	1993
14	14	GEORGE MICHAEL & QUEEN	Somebody to love	1993
15	15	JANET JACKSON	That's the way love goes	1993
16	16	LENNY KRAVITZ	Are you gonna go my way?	1993
17	17	TASMIN ARCHER	Sleeping satellite	1993
18	18	4 NON BLONDES	What's up	1993
19	19	CAPTAIN HOLLYWOOD PROJECT	More and more	1993
20	20	DEPECHE MODE	I feel you	1993
21	21	MICHAEL JACKSON	Will you be there	1993
22	22	REGG'LYSS	Regg'lyss, ... mets de l'huile	1993
23	23	SPIN DOCTORS	Two princes	1993
24	24	ALAIN SOUCHON	Foule sentimentale	1993
25	25	CELINE DION	Ziggy	1993
26	26	EROS RAMAZZOTTI	Cose della vita	1993
27	27	GENESIS	Tell me why	1993
28	28	GUNS N' ROSES	November rain	1993
29	29	HADDAWAY	Life	1993
30	30	INNER CIRCLE	Sweat (a la la la la long)	1993
31	31	MICK JAGGER	Sweet thing	1993
32	32	PAUL McCARTNEY	Hope of deliverance	1993
33	33	PHIL COLLINS	Both sides of the story	1993
34	34	THE BELOVED	Sweet harmony	1993
35	35	CO.RO. feat. TALEESA	Because the night	1993
36	36	DIRE STRAITS	Your latest trick [live]	1993
37	37	DR. ALBAN	Sing Hallelujah!	1993
38	38	FELIX	Don't you want me	1993
39	39	MARIAH CAREY	Dreamlover	1993
40	40	SHINEHEAD	Jamaican in New York	1993
41	41	TEARS FOR FEARS	Break it down again	1993
42	42	WHITNEY HOUSTON	I'm every woman	1993
43	43	2 UNLIMITED	Tribal dance	1993
44	44	BILLY JOEL	The river of dreams	1993
45	45	BRYAN ADAMS	Please forgive me	1993
46	46	CULTURE BEAT	Got to get it	1993
47	47	L'AFFAIRE LOUIS TRIO	Le capitaine	1993
48	48	L'AFFAIRE LOUIS TRIO	Mobilis in mobile	1993
49	49	LES INNOCENTS	L'autre Finistère	1993
50	50	MYLENE FARMER	Que mon coeur lâche	1993
